term	genes	type	name	parents
R-HSA-4420332	P31431;Q96GW7;P18827;P21810;O14594;P98160;P34741;O75056;Q8N158;P78333;Q96L58;P13611;O00468;Q6UVK1;P35052;O95196;Q9Y625;P51654;O75487;P07585	Disease	Defective B3GALT6 causes EDSP2 and SEMDJL1	R-HSA-3560782
R-HSA-442380	Q13433;Q6ZMH5;Q9C0K1;Q6P5W5;Q92504;Q15043;Q9NP94;Q9NY26;Q9ULF5;Q9BRY0	Transport of small molecules	Zinc influx into cells by the SLC39 gene family	R-HSA-435354
R-HSA-442660	P23975;Q9NSD5;P48066;Q9H2J7;O15245;Q99884;Q01959;P31641;Q695T7;Q9NP91;P30531;P54219;P48067;Q9Y345;Q9UN76;Q96N87;O15244;P48065;Q05940	Transport of small molecules	Na+/Cl- dependent neurotransmitter transporters	R-HSA-425366
R-HSA-442720	P51817;P22612;P31321;P17612;P16220;P40145;Q08828;P10644;P0DP23;P13861;P31323;P22694	Neuronal System	CREB1 phosphorylation through the activation of Adenylate Cyclase	R-HSA-438064
R-HSA-442729	Q96RR4;Q8N5S9;P16220;Q13555;P0DP23;P52292;Q16566;Q13554	Neuronal System	CREB1 phosphorylation through the activation of CaMKII/CaMKK/CaMKIV cascasde	R-HSA-438064
R-HSA-442742	P16220;Q9UK32;Q15418;P51812;Q15349;Q13224;P01111;P01116;Q05586;P01112;Q13557;O14827;Q13972;P35609;Q15700;Q92796;Q12959;Q13555;Q96NW7;P0DP23;P78352;Q9UQM7;P07196;O15399;Q13554;O15530;P27361;P28482	Neuronal System	CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling	R-HSA-438064
R-HSA-442755	Q13224;P42263;Q05586;P42261;Q13557;Q12879;P35609;Q15700;Q92796;Q12959;Q13555;Q96NW7;P0DP23;P78352;P48058;Q9UQM7;P42262;P07196;O15399;Q13554;Q14957;P0DPH7;Q71U36;Q9H4B7;P68366;A6NHL2;Q9BQE3;Q13885;P0DPH8;A6NNZ2;P04350;Q8TCU5;Q9P2E2;O14910;Q9H853;Q6PEY2;Q9NUP9;Q9NY65;Q9BVA1;Q9BUF5;O14936;Q02410;Q9HAP6;O60391;Q8NFP9;Q13509;P68363;Q3ZCM7;P68371;Q8WY54;Q14012;P49593;Q16566;P51817;P22612;P31321;P17612;P16220;P40145;Q08828;P10644;P13861;P31323;P22694;Q96RR4;Q8N5S9;P52292;P63000;Q9Y2X7;O43741;Q13131;Q9UGJ0;Q9Y478;Q9UGI9;P54619;P54646;P12931;Q15303;Q02297;Q92686;Q9UK32;Q15418;P51812;Q15349;P01111;P01116;P01112;O14827;Q13972;O15530;P27361;P28482	Neuronal System	Activation of NMDA receptors and postsynaptic events	R-HSA-112314
R-HSA-442982	Q13224;P01111;P01116;Q05586;P01112;Q13557;O14827;Q13972;P35609;Q15700;Q92796;Q12959;Q13555;Q96NW7;P0DP23;P78352;Q9UQM7;P07196;O15399;Q13554	Neuronal System	Ras activation upon Ca2+ influx through NMDA receptor	R-HSA-442742
R-HSA-444209	O15552;O14843;O14842;Q5NUL3;O00270	Signal Transduction	Free fatty acid receptors	R-HSA-373076
R-HSA-444257	O15530;Q9UK32;P27361;Q15418;P51812;P28482;Q15349	Neuronal System	RSK activation	R-HSA-442742
R-HSA-444411	Q9UBD6;Q02094;Q9H310	Transport of small molecules	Rhesus glycoproteins mediate ammonium transport.	R-HSA-425366
R-HSA-444473	P0DJI8;Q9NRV9;P04083;P21462;P25090;P25089;P05067;Q8IVG9	Signal Transduction	Formyl peptide receptors bind formyl peptides and many other ligands	R-HSA-375276
R-HSA-444821	Q8WXD0;Q8TDU9;P04090;Q8WXF3;Q9HBX9;Q9Y5Q6;P51460;Q9NSD7	Signal Transduction	Relaxin receptors	R-HSA-375276
R-HSA-445095	P35498;Q14524;O15020;Q01082;Q15858;Q9NY46;Q9UQD0;Q9Y5Y9;Q13813;Q07699;Q9NY72;Q9UI33;Q99250;Q92823;O43526;Q01118;P02549;Q8IWT1;O60939;Q9NRC6;P35499;P11277;Q9H254;P63261;Q12955;Q01484;P60709;P16157;P32004;O43525;O94856	Developmental Biology	Interaction between L1 and Ankyrins	R-HSA-373760
R-HSA-445144	P36507;P05106;P13591;P63000;P67870;P19784;P08648;P05556;P08514;P00533;P27361;P32004;P28482;O14786;Q13153;Q13797;P06756;Q02750;P52735;P68400	Developmental Biology	Signal transduction by L1	R-HSA-373760
R-HSA-445355	P09493;P67936;P14649;P49023;Q01449;Q15746;Q9BUA6;P06753;Q9BX66;O75923;Q05682;P18084;P04083;P56539;P62736;P63267;P07355;O75343;Q02153;P0DP23;P08133;Q96A32;Q02108;P56199;P33402;Q13177;P29536;P19105;Q13153;O14950;P35749;P60660;P18206;Q9Y490;Q6ZMU5;O60504;Q02045;P24844;P07951	Muscle contraction	Smooth Muscle Contraction	R-HSA-397014
R-HSA-445717	O14520;O43315;Q7L804;P30518;P62491;P22612;P31321;P17612;Q5JWF2;O43306;P62879;O60266;P50150;P61952;O60503;Q8NFM4;P41181;P29972;O95622;P40145;Q08828;P63092;O14775;P63215;Q9HAV0;P63211;P62873;P10644;O60262;P51828;P59768;P16520;Q08462;P63218;Q9UBI6;Q9P2W3;P50151;O14610;P13861;P01185;P31323;P22694;Q9UK08;Q9ULV0;Q92482;P55087;P30301;O94778;Q13520;Q8IXF9;Q96PS8;P55064;Q8NBQ7	Transport of small molecules	Aquaporin-mediated transport	R-HSA-382551
R-HSA-445989	Q04206;Q8N5C8;P62987;O43353;Q00653;P62979;P80511;P51617;Q9HC29;P0CG48;Q15750;Q9Y239;P0CG47;P0DJI8;Q15109;P04271;Q9NYJ8;P25963;O15111;O14920;Q9NYR9;P09429;Q9NYS0;P05067;O43318;Q15653;O43187;Q13404;P61088;P19838;Q9Y6K9;Q9Y4K3	Immune System	TAK1 activates NFkB by phosphorylation and activation of IKKs complex	R-HSA-166058;R-HSA-168164;R-HSA-9020702;R-HSA-937061;R-HSA-975138;R-HSA-975871
R-HSA-446107	Q15149;Q13753;P48509;Q9UMD9;Q03001;P02533;P16144;P13647;P23229;Q13751;Q16787	Cell-Cell communication	Type I hemidesmosome assembly	R-HSA-446728
R-HSA-446193	O75352;Q9NP73;Q9BVK2;Q5BKT4;Q96F25;Q5I7T1;Q9H6U8;Q9BV10;Q9BT22;Q2TAA5;Q9H553;Q92685;Q9H3H5;Q9Y672;Q96AA3;O94777;O60762;Q9P2X0;Q9UNP4;Q9UJ37;Q969X2;Q92186;P15907;O43173;Q11201;Q9H4F1;Q9Y274;P61647;Q9NRA2;Q11203;P78382;Q92185;Q9Y3R4;Q9NR45;Q9BXD5;P10619;Q8WWR8;Q8NDV1;Q16842;Q96JF0;Q11206;Q9BVH7;Q92187;Q9NSC7;O15466;P16278;Q9Y223;Q99519;Q8TBE9;Q8NFW8;Q9UQ49;Q9H8P0;P53602;Q96E22;Q9UPQ8;Q86SQ9;Q86YN1;O15305;Q92871;P34949;Q96IJ6;Q9Y5P6;P51606;Q9Y303;Q9UJ70;O95394;Q06210;O94808;Q96EK6;Q16222;O95848;Q9Y673;O60547;Q13630;Q8N0W3;A2VDF0;O14772;Q96A29	Metabolism of proteins	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	R-HSA-446203
R-HSA-446199	Q9H8P0;P53602;Q96E22;Q9UPQ8;Q86SQ9;Q86YN1	Metabolism of proteins	Synthesis of Dolichyl-phosphate	R-HSA-446219
R-HSA-446203	P46977;P04843;P04844;Q9H0U3;P07911;P07307;P07306;P61803;Q8NHY0;P39656;Q13454;O75352;Q9NP73;Q9BVK2;Q5BKT4;Q96F25;Q5I7T1;Q9H6U8;Q9BV10;Q9BT22;Q2TAA5;Q9H553;Q92685;Q9H3H5;Q9Y672;Q96AA3;O94777;O60762;Q9P2X0;Q9UNP4;Q9UJ37;Q969X2;Q92186;P15907;O43173;Q11201;Q9H4F1;Q9Y274;P61647;Q9NRA2;Q11203;P78382;Q92185;Q9Y3R4;Q9NR45;Q9BXD5;P10619;Q8WWR8;Q8NDV1;Q16842;Q96JF0;Q11206;Q9BVH7;Q92187;Q9NSC7;O15466;P16278;Q9Y223;Q99519;Q8TBE9;Q8NFW8;Q9UQ49;Q9H8P0;P53602;Q96E22;Q9UPQ8;Q86SQ9;Q86YN1;O15305;Q92871;P34949;Q96IJ6;Q9Y5P6;P51606;Q9Y303;Q9UJ70;O95394;Q06210;O94808;Q96EK6;Q16222;O95848;Q9Y673;O60547;Q13630;Q8N0W3;A2VDF0;O14772;Q96A29;Q13724;P62987;P62191;Q04323;P54727;P62979;P0CG48;P55072;P0CG47;Q9UKV5;Q9BUN8;Q14697;Q8NFI3;Q14165;Q96IV0;P14314;P30101;P27824;P27797;O00237;Q96GF1;O60858;Q9NYU1;Q99942;Q13438;Q9UBV2;Q8WU17;Q9BZQ6;Q9BV94;Q92611;Q9GZP9;Q9UKM7;O60337;Q9NYU2;Q86TM6;P49257;Q8NI22;Q5H9R7;Q92734;Q9BRL7;P0DI81;Q15436;Q9BQQ3;O75396;Q96IW7;Q13190;P62820;Q96JE7;O95487;O94855;Q99747;Q9H0U4;P55735;P46459;P56962;P42261;O00743;O15498;O43617;Q9UPN7;Q8IUR0;Q9UL33;P49755;P54920;O94979;Q9H115;O15027;Q9Y6Y8;Q8WVM8;Q9Y6B6;P53992;O95486;P15328;P13987;Q02388;O15155;Q6PI25;P15514;O15084;Q9UBR2;Q8TBE1;P01009;P53634;P12259;P48730;P00451;O95406;Q08379;O14653;Q12907;Q9H0V9;Q9HAT1;O75865;Q96BZ9;Q9Y296;Q96Q05;P01135;O60763;Q86SZ2;P48553;Q9HCU5;Q9Y5R8;Q15363;Q5JRA6;Q96PC5;P0DPH7;Q71U36;Q9H4B7;P68366;O15020;A6NHL2;Q01082;Q9BQE3;Q13885;P0DPH8;A6NNZ2;Q9BVK6;Q13813;P04350;Q9H853;Q6PEY2;Q9Y3B3;Q9NY65;Q9BVA1;Q9BUF5;P02549;Q9NRC6;P11277;Q9H254;O14579;Q9UP83;O00399;Q9Y6G9;P48444;Q9NYM9;Q13561;P18085;Q12955;P47755;Q8N6T3;Q9NP61;P53621;Q9P299;Q9Y2V7;Q9Y678;P08174;P53618;O14576;P24390;Q96MW5;Q14203;P61163;Q8WTW3;Q9NZ32;P84085;Q01484;Q14204;Q13409;Q96FJ2;P52907;P35606;P61204;O43731;P84077;Q8N6H7;P83436;P01308;P61923;Q9UJW0;Q9UBF2;Q14746;Q96KX2;Q96JB2;Q9BTE1;O43237;P47756;Q9H9E3;Q92538;P33947;P16157;Q14789;O75935;O95249;Q13509;P68363;Q9Y3Q3;Q3ZCM7;P68371;Q12893;P63167;Q5SRI9;P26572;Q9NR34;P33908;O60476;Q09327;Q9UQ53;O60909;Q9UBX8;O60513;O60512;P15291;O43286;Q9UBM8;Q09328;Q9UM21;P21217;O43529;Q9H2A9;P01215;P01229;Q9BYC5;Q10469;P04066;P49641;Q16706	Metabolism of proteins	Asparagine N-linked glycosylation	R-HSA-597592
R-HSA-446205	O15305;Q92871;P34949;Q96IJ6;Q9Y5P6	Metabolism of proteins	Synthesis of GDP-mannose	R-HSA-446219
R-HSA-446210	P51606;Q9Y303;Q9UJ70;O95394;Q06210;O94808;Q96EK6;Q16222	Metabolism of proteins	Synthesis of UDP-N-acetyl-glucosamine	R-HSA-446219
R-HSA-446219	O94777;O60762;Q9P2X0;Q9UNP4;Q9UJ37;Q969X2;Q92186;P15907;O43173;Q11201;Q9H4F1;Q9Y274;P61647;Q9NRA2;Q11203;P78382;Q92185;Q9Y3R4;Q9NR45;Q9BXD5;P10619;Q8WWR8;Q8NDV1;Q16842;Q96JF0;Q11206;Q9BVH7;Q92187;Q9NSC7;O15466;P16278;Q9Y223;Q99519;Q8TBE9;Q8NFW8;Q9UQ49;Q9H8P0;P53602;Q96E22;Q9UPQ8;Q86SQ9;Q86YN1;O15305;Q92871;P34949;Q96IJ6;Q9Y5P6;P51606;Q9Y303;Q9UJ70;O95394;Q06210;O94808;Q96EK6;Q16222;O95848;Q9Y673;O60547;Q13630;Q8N0W3;A2VDF0;O14772;Q96A29	Metabolism of proteins	Synthesis of substrates in N-glycan biosythesis	R-HSA-446193
R-HSA-446343	P49023;Q9NVD7;P05556;Q13418	Cell-Cell communication	Localization of the PINCH-ILK-PARVIN complex to focal adhesions	R-HSA-446353
R-HSA-446353	Q9HBI1;Q9NVD7;P50552;P63261;Q14315;P60709;Q96AC1;Q8WUP2;Q13418;Q7Z4I7;P48059;P21333;P49023;P05556;Q15569;Q15404;Q15052;P12814	Cell-Cell communication	Cell-extracellular matrix interactions	R-HSA-446728
R-HSA-446388	Q15569;P49023;Q9HBI1;Q9NVD7;Q15404;Q15052;P12814;P48059	Cell-Cell communication	Regulation of cytoskeletal remodeling and cell spreading by IPP complex components	R-HSA-446353
R-HSA-446652	Q04206;Q00653;P08311;Q14116;P01584;P01583;P19838;P29466;Q9HB29;P45983;Q9NZN1;Q8WWZ1;Q6IA17;P84022;P17706;P35236;P40763;Q06124;Q05209;Q99952;P54829;P29074;P43378;P29350;Q12923;Q9UHD2;Q4JDL3;Q13478;O95998;Q9NZH6;Q15678;Q9H3S7;P35225;P09917;P05112;O95256;Q9UBH0;Q9NZH8;Q9NZH7;Q9UHA7;O95760;O43242;P28070;Q9UL46;Q15008;Q9HAT8;P60896;P63208;P25789;Q8N5C8;Q13501;P62987;Q8N2H9;P62191;P17980;O43353;O00232;O75832;Q14997;Q16401;P49721;Q92530;P62979;P28066;P25787;Q13200;Q99460;O14818;P43686;P49720;P55036;Q8TAA3;P61289;P51617;P35998;A5LHX3;Q06323;P28074;Q9HC29;P62877;P0CG48;Q15750;Q9Y239;Q9UNM6;O00231;P25788;P28062;P40306;P0CG47;P62333;P25786;P51665;Q99436;P28072;O00487;P62195;P48556;P60900;P28065;O00233;Q9NYJ8;P25963;O15111;O14920;Q13616;Q9Y297;P18510;Q9Y616;Q9NWZ3;Q99759;O43318;P27930;O43187;Q99836;P14778;P52564;Q13404;P61088;Q96FA3;Q9Y6K9;P20618;Q9Y4K3;Q9H0E2;P80511;P0DJI8;Q15109;P04271;Q9NYR9;P09429;Q9NYS0;P05067;Q15653;P45985;Q9UKB1;P41279;Q02750;Q8NFZ5	Immune System	Interleukin-1 family signaling	R-HSA-449147
R-HSA-446728	Q15149;Q13753;P48509;Q9UMD9;Q03001;P02533;P16144;P13647;P23229;Q13751;Q16787;Q9HBI1;Q9NVD7;P50552;P63261;Q14315;P60709;Q96AC1;Q8WUP2;Q13418;Q7Z4I7;P48059;P21333;P49023;P05556;Q15569;Q15404;Q15052;P12814;Q58EX2;Q7Z5N4;Q8N3R9;Q8TEW0;Q9BYG4;O95500;O95484;P57739;P56749;O75508;Q9BUF7;O15551;P78369;O00501;P56880;P56747;P56748;O95832;P56750;P56856;Q96B33;P56746;Q8N6F1;O95471;O14493;Q8N7P3;Q9Y624;Q9NPB6;Q9BYG5;Q8NI35;P41743;Q9Y5I7;Q96NY8;P14923;O60716;P33151;Q8N3J6;P55283;P55290;Q12864;P12830;P55286;P35222;P19022;Q9BY67;P35221;Q9ULB4;P55287;Q13634;P55291;Q86UP0;P55289;Q9ULB5;Q8N126;P22223;P03950;Q9Y6N8;Q9NQS3;Q15223;Q92692;P55285;P15151	Cell-Cell communication	Cell junction organization	R-HSA-1500931
R-HSA-447038	Q92823;O60462;Q02246;Q92796;Q12959;P78352;P16157	Developmental Biology	NrCAM interactions	R-HSA-373760
R-HSA-447041	Q9UQ52;P11142;P05556;P16157;O75578;P17301;P56199;O00533;O14786	Developmental Biology	CHL1 interactions	R-HSA-373760
R-HSA-447043	Q92823;O00560;O43602;Q12860;P78357;P16157;O94856	Developmental Biology	Neurofascin interactions	R-HSA-373760
R-HSA-447115	Q14765;P40763;P23458;P42224;P27824;P29459;P40189;Q6UWB1;Q99665;Q14213;O60674;P29597;Q9NPF7;P29460;Q5VWK5;P42701;P07237;O75462;Q8NEV9;P51809;P09661;Q9UL46;P00441;P11233;P05388;P62937;P22626;P05120;P04179;P61224;Q13126;P20700;P37837;P17987;P13796;Q99439;P23528;P60953;P52907;P07355;P00915;P84077;P09210;O00170;P14174;P26038;P78417;P01579;P52597;P22301;O14979;Q53EL6;Q13177;Q00169;P38646;Q9H3K6	Immune System	Interleukin-12 family signaling	R-HSA-449147
R-HSA-448424	Q8NAC3;Q9P0M4;Q96PD4;Q16552;Q96F46;Q9NRM6;Q8NFR9;Q9H293;Q8N5C8;P62987;O43353;P62979;P51617;Q16644;Q9HC29;P0CG48;Q15750;Q9Y239;P0CG47;Q9NYJ8;Q15759;P46734;Q16539;O43318;O43187;P49137;P52564;Q13404;P61088;Q9Y6K9;Q9Y4K3;O14733;P45985;P45983;P53779;P45984;P63208;O15111;O14920;Q13616;Q9Y297;Q9UKB1;P41279;Q02750;P19838;Q8NFZ5;P18846;P16220;O75582;Q15418;P51812;Q15349;P01100;P15336;P27361;P28482;P05412;P62714;P67775;Q14738;P30153;P30154;P19419;Q06413;Q13164;Q02078;Q8IV63;Q13115;Q16829;Q16828;P51452	Immune System	Interleukin-17 signaling	R-HSA-449147
R-HSA-448706	Q04206;Q00653;P08311;Q14116;P01584;P01583;P19838;P29466	Immune System	Interleukin-1 processing	R-HSA-446652
R-HSA-449147	O15524;P51532;P51692;P40763;P55895;P14210;P35568;P23458;P13232;O14508;Q969D9;P27986;P15918;P42229;Q9NSI6;Q9NSE2;Q9HC73;P52333;Q9Y4H2;P16871;P31785;Q71DI3;O00459;Q92569;P68431;Q16623;P24158;P60880;Q15833;P23471;P18827;Q99062;P63027;P40222;Q13277;Q12846;Q08334;P42574;P01730;P07333;P09603;Q14005;P09919;Q8IU54;Q6ZMJ4;P24001;Q8IU57;P29597;P01033;P25105;P15018;P02778;P10145;Q13651;P29460;P16619;P13500;P13501;P33681;P04141;O00626;P13236;P42081;P32246;Q99731;P41597;P51681;P18510;P29459;Q14116;P21462;P01584;P06734;P10147;P01583;P09341;P27930;P05362;P05231;P22301;P14778;P19875;P01375;P19438;P35354;P20333;P78556;P21453;P48431;O75159;P35398;P13725;O14543;P05107;P14780;P41143;P24394;P15941;P35228;P42226;P01106;Q9H9S0;P51449;P37275;P19320;P08254;Q99608;P04637;Q15672;P42224;P0DJI8;Q7L0Q8;Q9NPF7;P11215;Q16658;P10415;P01861;P04083;Q16520;O15392;P16671;P38936;P49716;P24385;P31749;P01189;P51671;P21397;P41182;O43524;P35225;Q96PD4;Q16552;P14625;P23771;P11142;P05556;P20702;P01100;P09038;P09917;Q12778;O60674;P03956;P78552;Q5VWK5;P18428;P08887;P02751;P09601;P01857;P05112;Q15306;P17275;P08253;P07900;P01854;P35372;Q07820;P11309;Q14627;P16050;P00488;O15230;P08670;Q16665;P48023;P15692;P14859;P80188;P01137;Q07817;P08123;Q14765;Q06124;Q13007;P52630;Q8N6P7;Q9UHD0;Q9UHF4;Q6UXL0;Q9NYY1;Q8IZI9;Q9NPH9;Q8IZJ0;Q969J5;Q9GZX6;O00182;Q8TDQ0;Q07890;P29353;Q07889;Q13261;P62993;P40933;Q9UQC2;P14784;P15248;Q01113;Q14289;P60568;P43405;P06239;P01589;Q9HBE4;Q9HBE5;O00329;Q92835;O15357;P29350;P42338;P26951;P15509;P08700;P05113;P32927;Q01344;P42336;P15498;P17612;P63104;P42680;Q13905;P62987;P62979;P08631;P0CG48;P07947;P0CG47;Q8WV28;P46108;P46109;P22681;P06241;P07948;P40189;Q16619;P26441;Q9UBD9;P26992;P20809;O75462;Q14626;P42702;Q6EBC2;Q8NI17;Q99650;Q04206;Q00653;P08311;P19838;P29466;Q9HB29;P45983;Q9NZN1;Q8WWZ1;Q6IA17;P84022;P17706;P35236;Q05209;Q99952;P54829;P29074;P43378;Q12923;Q9UHD2;Q4JDL3;Q13478;O95998;Q9NZH6;Q15678;Q9H3S7;O95256;Q9UBH0;Q9NZH8;Q9NZH7;Q9UHA7;O95760;O43242;P28070;Q9UL46;Q15008;Q9HAT8;P60896;P63208;P25789;Q8N5C8;Q13501;Q8N2H9;P62191;P17980;O43353;O00232;O75832;Q14997;Q16401;P49721;Q92530;P28066;P25787;Q13200;Q99460;O14818;P43686;P49720;P55036;Q8TAA3;P61289;P51617;P35998;A5LHX3;Q06323;P28074;Q9HC29;P62877;Q15750;Q9Y239;Q9UNM6;O00231;P25788;P28062;P40306;P62333;P25786;P51665;Q99436;P28072;O00487;P62195;P48556;P60900;P28065;O00233;Q9NYJ8;P25963;O15111;O14920;Q13616;Q9Y297;Q9Y616;Q9NWZ3;Q99759;O43318;O43187;Q99836;P52564;Q13404;P61088;Q96FA3;Q9Y6K9;P20618;Q9Y4K3;Q9H0E2;P80511;Q15109;P04271;Q9NYR9;P09429;Q9NYS0;P05067;Q15653;P45985;Q9UKB1;P41279;Q02750;Q8NFZ5;P27824;Q6UWB1;Q99665;Q14213;P42701;P07237;Q8NEV9;P51809;P09661;P00441;P11233;P05388;P62937;P22626;P05120;P04179;P61224;Q13126;P20700;P37837;P17987;P13796;Q99439;P23528;P60953;P52907;P07355;P00915;P84077;P09210;O00170;P14174;P26038;P78417;P01579;P52597;O14979;Q53EL6;Q13177;Q00169;P38646;Q9H3K6;Q8NAC3;Q9P0M4;Q96F46;Q9NRM6;Q8NFR9;Q9H293;Q16644;Q15759;P46734;Q16539;P49137;O14733;P53779;P45984;P18846;P16220;O75582;Q15418;P51812;Q15349;P15336;P27361;P28482;P05412;P62714;P67775;Q14738;P30153;P30154;P19419;Q06413;Q13164;Q02078;Q8IV63;Q13115;Q16829;Q16828;P51452	Immune System	Signaling by Interleukins	R-HSA-1280215
R-HSA-449836	Q16623;P24158;P60880;Q15833;P23471;P18827;P23458;Q99062;P63027;P40222;Q13277;Q12846;Q08334;P42574;P01730;P07333;P09603;Q14005;P09919;Q8IU54;Q6ZMJ4;P24001;Q8IU57;P29597	Immune System	Other interleukin signaling	R-HSA-449147
R-HSA-450282	P18846;P16220;O75582;Q15418;P51812;Q15349;P49137;P01100;P15336;Q15759;P27361;Q16539;P45983;P53779;P28482;P05412;P45984;P62714;P67775;Q14738;P30153;P30154;P19419;Q06413;Q13164;Q02078;Q8IV63;Q13115;Q16829;Q16828;P51452	Immune System	MAPK targets/ Nuclear events mediated by MAP kinases	R-HSA-450294
R-HSA-450294	Q8N5C8;P62987;O43353;P62979;P51617;Q16644;Q9HC29;P0CG48;Q15750;Q9Y239;P0CG47;Q9NYJ8;Q15759;P46734;Q16539;O43318;O43187;P49137;P52564;Q13404;P61088;Q9Y6K9;Q9Y4K3;O14733;P45985;P45983;P53779;P45984;P63208;O15111;O14920;Q13616;Q9Y297;Q9UKB1;P41279;Q02750;P19838;Q8NFZ5;P18846;P16220;O75582;Q15418;P51812;Q15349;P01100;P15336;P27361;P28482;P05412;P62714;P67775;Q14738;P30153;P30154;P19419;Q06413;Q13164;Q02078;Q8IV63;Q13115;Q16829;Q16828;P51452	Immune System	MAP kinase activation	R-HSA-166058;R-HSA-168164;R-HSA-448424;R-HSA-937061;R-HSA-975138;R-HSA-975871
R-HSA-450302	Q8N5C8;P62987;O43353;P62979;P51617;Q16644;Q9HC29;P0CG48;Q15750;Q9Y239;P0CG47;Q9NYJ8;Q15759;P46734;Q16539;O43318;O43187;P49137;P52564;Q13404;P61088;Q9Y6K9;Q9Y4K3	Immune System	activated TAK1 mediates p38 MAPK activation	R-HSA-450294
R-HSA-450321	Q8N5C8;P62987;O43353;P62979;P51617;O14733;P45985;Q9HC29;P0CG48;Q15750;Q9Y239;P0CG47;Q9NYJ8;P45983;O43318;P53779;O43187;P45984;Q13404;P61088;Q9Y6K9;Q9Y4K3	Immune System	JNK (c-Jun kinases) phosphorylation and  activation mediated by activated human TAK1	R-HSA-450294
R-HSA-450341	P01100;P15336;Q15759;P27361;Q16539;P45983;P53779;P28482;P05412;P45984	Immune System	Activation of the AP-1 family of transcription factors	R-HSA-450282
R-HSA-450385	Q07352;P31946;Q9Y3B2;P31749;Q15024;Q06265;Q96B26;Q9NQT4;Q9NPD3;Q13868;Q5RKV6;P49137;Q9NQT5;Q8IU60;Q9NPI6;Q8IZH2;Q9Y2L1	Metabolism of RNA	Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA	R-HSA-450531
R-HSA-450408	O43242;P28070;Q9UL46;Q15008;P60896;P25789;P62987;P62191;P17980;O00232;O75832;Q14997;Q16401;P49721;Q92530;P62979;P28066;P25787;Q13200;Q99460;O14818;P43686;P49720;P55036;Q8TAA3;P61289;P35998;A5LHX3;Q06323;P28074;P11940;P0CG48;Q9UNM6;O00231;P25788;P28062;P40306;P0CG47;P62333;P25786;P51665;Q99436;P28072;O00487;P62195;P48556;P60900;P28065;O00233;P0DMV8;P11142;Q04637;P04792;Q14103;P20618	Metabolism of RNA	AUF1 (hnRNP D0) binds and destabilizes mRNA	R-HSA-450531
R-HSA-450513	P31946;Q9Y3B2;Q15024;Q06265;Q96B26;Q9NQT4;Q9NPD3;Q13868;Q5RKV6;P49137;Q9NQT5;Q92973;Q8IU60;Q9NPI6;Q8IZH2;Q9Y2L1;P26651	Metabolism of RNA	Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA	R-HSA-450531
R-HSA-450520	Q01105;O14980;Q05655;P35658;P39687;Q15717;P17252;O75888	Metabolism of RNA	HuR (ELAVL1) binds and stabilizes mRNA	R-HSA-450531
R-HSA-450531	Q07352;P31946;Q9Y3B2;P31749;Q15024;Q06265;Q96B26;Q9NQT4;Q9NPD3;Q13868;Q5RKV6;P49137;Q9NQT5;Q8IU60;Q9NPI6;Q8IZH2;Q9Y2L1;O43242;P28070;Q9UL46;Q15008;P60896;P25789;P62987;P62191;P17980;O00232;O75832;Q14997;Q16401;P49721;Q92530;P62979;P28066;P25787;Q13200;Q99460;O14818;P43686;P49720;P55036;Q8TAA3;P61289;P35998;A5LHX3;Q06323;P28074;P11940;P0CG48;Q9UNM6;O00231;P25788;P28062;P40306;P0CG47;P62333;P25786;P51665;Q99436;P28072;O00487;P62195;P48556;P60900;P28065;O00233;P0DMV8;P11142;Q04637;P04792;Q14103;P20618;Q92973;P26651;Q01105;O14980;Q05655;P35658;P39687;Q15717;P17252;O75888;O95453;P63104;Q92945;Q15759;Q16539	Metabolism of RNA	Regulation of mRNA stability by proteins that bind AU-rich elements	R-HSA-8953854
R-HSA-450604	O95453;Q9Y3B2;P63104;P31749;Q15024;Q06265;Q96B26;Q9NQT4;Q92945;Q9NPD3;Q15759;Q16539;Q13868;Q5RKV6;Q9NQT5;Q8IU60;Q9Y2L1	Metabolism of RNA	KSRP (KHSRP) binds and destabilizes mRNA	R-HSA-450531
R-HSA-451306	P39086;Q13002;P61601;Q92796;Q12959;Q16099;P0DP23;P78352;Q16478;Q13003	Neuronal System	Ionotropic activity of kainate receptors	R-HSA-451326
R-HSA-451307	P39086;Q13002	Neuronal System	Activation of Na-permeable kainate receptors	R-HSA-451306
R-HSA-451308	P61601;Q92796;Q12959;Q16099;P0DP23;P78352;P39086;Q16478;Q13003;Q13002	Neuronal System	Activation of Ca-permeable Kainate Receptor	R-HSA-451306
R-HSA-451326	Q00722;Q9NQ66;Q01970;P62879;P50150;P61952;O14775;P63215;Q9HAV0;P63211;P62873;O60262;P59768;P16520;P63218;Q9UBI6;Q9P2W3;P50151;O14610;Q13003;Q9UK08;P39086;Q13002;P61601;Q92796;Q12959;Q16099;P0DP23;P78352;Q16478	Neuronal System	Activation of kainate receptors upon glutamate binding	R-HSA-112314
